"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","45.4","14.0","13.0","21.2","2.7","0.5","345.3","5,815.8","116.7"
"Denver Broncos","","52.5","12.5","11.1","16.2","2.6","0.5","342.3","5,404.1","116.4"
"Philadelphia Eagles","","45.7","13.5","13.3","22.5","2.7","0.0","344.0","5,512.1","115.5"
"Houston Texans","","47.6","15.2","10.0","14.1","2.7","0.5","349.8","5,510.3","115.1"
"Baltimore Ravens","","52.4","14.0","9.7","13.7","2.3","0.5","341.0","5,362.1","114.6"
"Dallas Cowboys","","51.9","12.0","10.3","16.6","2.6","0.0","397.7","5,933.7","111.8"
"Pittsburgh Steelers","","44.1","13.6","12.1","20.1","2.5","0.0","348.1","5,700.0","110.5"
"Green Bay Packers","","46.1","12.6","11.7","18.4","2.2","0.5","363.0","5,654.1","108.7"
"Minnesota Vikings","","45.7","13.6","10.3","15.2","2.5","0.0","356.8","5,306.2","108.6"
"New York Giants","","50.7","10.5","11.9","19.2","2.2","0.0","419.9","5,852.7","108.3"
"Detroit Lions","","43.0","13.8","9.6","14.2","2.5","0.0","374.8","5,794.8","104.8"
"Los Angeles Rams","","45.1","13.2","8.9","14.3","2.2","0.5","376.2","5,929.8","103.8"
"Los Angeles Chargers","","46.9","12.3","9.9","15.3","2.1","0.0","371.2","5,821.6","103.6"
"San Francisco 49ers","","42.9","13.3","8.9","14.1","2.3","1.0","385.2","5,663.7","103.2"
"Tampa Bay Buccaneers","","44.2","11.7","11.0","16.7","2.0","0.5","375.1","5,745.9","102.7"
"Washington Commanders","","45.9","11.1","10.3","16.0","2.1","0.5","399.4","6,112.4","102.4"
"Kansas City Chiefs","","45.7","11.8","9.3","14.2","2.2","0.5","348.1","5,592.7","102.2"
"Chicago Bears","","40.5","13.0","10.2","17.3","2.2","0.5","386.5","5,919.1","100.9"
"Seattle Seahawks","","45.2","12.7","8.6","14.2","2.0","0.5","362.9","5,653.5","100.9"
"Indianapolis Colts","","40.9","12.6","9.6","15.3","2.2","1.0","403.5","5,695.5","100.6"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","418.0","5,984.3","98.7"
"New York Jets","","43.0","12.0","9.5","14.3","1.8","0.5","387.9","5,406.9","98.0"
"Arizona Cardinals","","41.5","11.7","8.9","14.7","2.1","1.0","399.7","5,825.8","97.2"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.5","6,165.8","96.2"
"Las Vegas Raiders","","42.6","11.0","8.0","12.5","1.9","0.5","420.2","5,789.2","93.2"
"Miami Dolphins","","39.9","11.2","9.0","13.1","2.0","0.5","393.6","5,722.3","93.0"
"Atlanta Falcons","","39.4","11.6","8.5","14.0","1.9","0.5","414.0","6,034.8","92.1"
"Jacksonville Jaguars","","39.0","11.9","8.2","11.7","2.0","0.0","415.7","5,890.0","91.1"
"New Orleans Saints","","37.9","13.1","7.6","9.8","1.8","0.0","390.5","5,863.8","90.2"
"Tennessee Titans","","39.8","10.7","8.6","13.9","1.7","0.5","423.6","5,749.9","89.6"
"New England Patriots","","36.0","11.5","8.2","11.6","1.7","0.0","403.5","5,560.6","85.3"
"Carolina Panthers","","34.7","11.2","7.8","11.4","1.7","0.0","442.6","6,338.8","83.0"
""
""